trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2537.2722222222224,0.0,0.0,0.0,0.0,0.0,0.0,advise100_always_false
10,2603.1888888888884,1000.0,3640.133333333333,9918.233333333334,1000.0,3640.133333333333,9918.233333333334,advise100_always_false
20,2655.766666666666,0.0,0.0,8663.866666666667,1000.0,3640.133333333333,18582.1,advise100_always_false
30,2745.066666666666,0.0,0.0,8944.433333333332,1000.0,3640.133333333333,27526.533333333333,advise100_always_false
40,2698.3833333333328,0.0,0.0,8696.166666666666,1000.0,3640.133333333333,36222.7,advise100_always_false
50,2847.655555555555,0.0,0.0,8747.2,1000.0,3640.133333333333,44969.899999999994,advise100_always_false
60,2862.9333333333334,0.0,0.0,9149.4,1000.0,3640.133333333333,54119.299999999996,advise100_always_false
70,2859.8000000000006,0.0,0.0,9384.866666666667,1000.0,3640.133333333333,63504.166666666664,advise100_always_false
80,2897.972222222222,0.0,0.0,9590.966666666667,1000.0,3640.133333333333,73095.13333333333,advise100_always_false
90,2947.933333333334,0.0,0.0,9644.8,1000.0,3640.133333333333,82739.93333333333,advise100_always_false
100,2956.3555555555563,0.0,0.0,9851.966666666667,1000.0,3640.133333333333,92591.9,advise100_always_false
110,3078.3,0.0,0.0,9497.1,1000.0,3640.133333333333,102089.0,advise100_always_false
120,3175.3611111111113,0.0,0.0,9443.2,1000.0,3640.133333333333,111532.2,advise100_always_false
130,3125.0444444444447,0.0,0.0,9485.366666666667,1000.0,3640.133333333333,121017.56666666667,advise100_always_false
140,3218.111111111111,0.0,0.0,9551.066666666668,1000.0,3640.133333333333,130568.63333333333,advise100_always_false
150,3162.6055555555554,0.0,0.0,10322.666666666666,1000.0,3640.133333333333,140891.3,advise100_always_false
160,3262.2777777777783,0.0,0.0,10099.733333333334,1000.0,3640.133333333333,150991.03333333333,advise100_always_false
170,3257.322222222223,0.0,0.0,10321.066666666668,1000.0,3640.133333333333,161312.1,advise100_always_false
180,3192.111111111111,0.0,0.0,10233.933333333332,1000.0,3640.133333333333,171546.03333333333,advise100_always_false
190,3365.777777777778,0.0,0.0,10329.2,1000.0,3640.133333333333,181875.23333333334,advise100_always_false
200,3386.916666666666,0.0,0.0,10054.033333333333,1000.0,3640.133333333333,191929.26666666666,advise100_always_false
210,3347.694444444444,0.0,0.0,9948.566666666668,1000.0,3640.133333333333,201877.83333333334,advise100_always_false
220,3413.1833333333334,0.0,0.0,10413.266666666666,1000.0,3640.133333333333,212291.1,advise100_always_false
230,3310.744444444445,0.0,0.0,10014.033333333333,1000.0,3640.133333333333,222305.13333333333,advise100_always_false
240,3342.8277777777776,0.0,0.0,10514.4,1000.0,3640.133333333333,232819.53333333333,advise100_always_false
250,3450.961111111111,0.0,0.0,10189.0,1000.0,3640.133333333333,243008.53333333333,advise100_always_false
260,3423.4500000000003,0.0,0.0,10522.066666666668,1000.0,3640.133333333333,253530.6,advise100_always_false
270,3552.5111111111114,0.0,0.0,10242.733333333334,1000.0,3640.133333333333,263773.3333333333,advise100_always_false
280,3534.9,0.0,0.0,10766.6,1000.0,3640.133333333333,274539.9333333333,advise100_always_false
290,3525.705555555555,0.0,0.0,10079.966666666667,1000.0,3640.133333333333,284619.89999999997,advise100_always_false
300,3448.333333333333,0.0,0.0,10366.566666666668,1000.0,3640.133333333333,294986.4666666666,advise100_always_false
310,3390.9444444444443,0.0,0.0,10093.566666666668,1000.0,3640.133333333333,305080.03333333327,advise100_always_false
320,3518.583333333333,0.0,0.0,9834.266666666666,1000.0,3640.133333333333,314914.29999999993,advise100_always_false
330,3573.155555555555,0.0,0.0,10211.166666666666,1000.0,3640.133333333333,325125.4666666666,advise100_always_false
340,3654.888888888889,0.0,0.0,10900.166666666666,1000.0,3640.133333333333,336025.6333333333,advise100_always_false
350,3575.6444444444437,0.0,0.0,10272.433333333332,1000.0,3640.133333333333,346298.06666666665,advise100_always_false
360,3578.6444444444446,0.0,0.0,10155.033333333333,1000.0,3640.133333333333,356453.1,advise100_always_false
370,3662.2500000000005,0.0,0.0,10488.433333333332,1000.0,3640.133333333333,366941.5333333333,advise100_always_false
380,3573.5888888888885,0.0,0.0,10441.266666666666,1000.0,3640.133333333333,377382.8,advise100_always_false
390,3637.6166666666663,0.0,0.0,10726.266666666666,1000.0,3640.133333333333,388109.06666666665,advise100_always_false
400,3626.461111111111,0.0,0.0,10654.433333333332,1000.0,3640.133333333333,398763.5,advise100_always_false
410,3636.4666666666667,0.0,0.0,10583.666666666666,1000.0,3640.133333333333,409347.1666666667,advise100_always_false
420,3651.7499999999995,0.0,0.0,10570.966666666667,1000.0,3640.133333333333,419918.13333333336,advise100_always_false
430,3718.016666666666,0.0,0.0,10704.133333333333,1000.0,3640.133333333333,430622.2666666667,advise100_always_false
440,3681.477777777777,0.0,0.0,10378.3,1000.0,3640.133333333333,441000.5666666667,advise100_always_false
450,3595.5833333333335,0.0,0.0,10724.533333333333,1000.0,3640.133333333333,451725.10000000003,advise100_always_false
460,3677.4611111111108,0.0,0.0,9924.4,1000.0,3640.133333333333,461649.50000000006,advise100_always_false
